,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
22,2.676,2.444,2.6,2.726,0.718,2.824,0.574,2.528,1.256,2.302,2.854,0.874,3.776,3.905,4.022,4.341,4.358,1.27,1.714,3.292,0.265,4.611,0.0,2.191,3.238,0.791,3.691,0.356,0.923,2.081,0.79,5.182,4.869,4.174
23,1.666,3.578,1.59,3.119,2.884,1.055,1.986,1.518,1.461,3.406,3.306,3.079,4.715,3.11,5.512,5.28,5.297,2.404,1.939,2.496,1.768,3.105,2.033,0.0,4.178,1.661,4.63,2.388,3.799,0.153,2.202,6.672,6.359,5.113
24,3.125,4.499,3.331,6.117,4.988,3.979,3.812,2.923,3.707,2.018,1.918,5.096,0.686,2.969,1.082,1.251,1.268,4.508,4.791,2.356,3.594,1.521,3.32,4.284,0.0,4.029,0.601,3.61,4.72,4.358,4.028,2.163,1.85,1.084
25,2.293,2.059,2.217,2.34,1.365,2.441,0.217,2.145,0.881,3.003,3.555,1.56,4.477,3.737,4.723,5.042,5.059,0.885,0.54,3.123,0.526,3.732,0.791,1.817,3.939,0.0,4.392,1.147,2.28,1.707,0.405,5.883,5.57,4.875
26,3.406,4.506,3.612,5.97,4.995,4.26,3.819,3.204,3.988,1.95,2.199,5.103,0.967,3.25,0.866,1.532,1.549,4.515,4.57,2.637,3.601,1.802,3.327,4.565,0.281,4.036,0.0,3.617,4.727,4.639,4.035,2.872,2.559,1.365
27,3.031,1.686,2.955,3.082,0.362,3.179,0.93,2.883,1.611,2.969,3.521,0.518,4.443,4.572,4.689,5.008,5.025,1.626,2.07,3.959,0.62,4.47,0.356,2.546,3.905,1.147,4.358,0.0,0.568,2.436,1.146,5.849,5.536,4.841
28,3.378,2.78,3.302,3.795,2.82,3.526,1.644,3.23,1.958,2.401,2.953,3.015,3.876,4.004,4.122,4.441,4.458,2.34,2.396,3.391,1.064,4.711,0.8,2.893,3.338,1.861,3.791,1.09,0.0,2.783,1.86,5.282,4.969,4.274
29,1.735,3.422,1.659,2.963,2.728,1.124,1.83,1.587,1.305,3.636,3.375,2.923,5.11,3.179,5.356,5.675,5.692,2.248,1.783,2.565,1.612,3.174,1.877,0.153,4.572,1.505,5.025,2.232,3.643,0.0,2.046,6.516,6.203,5.508
30,3.012,1.65,2.936,1.931,0.956,3.16,0.216,2.864,1.425,3.002,3.554,1.151,4.476,4.456,4.722,5.041,5.058,0.476,0.919,3.842,0.525,4.451,0.79,2.36,3.938,0.405,4.391,1.017,1.871,2.25,0.0,5.882,5.569,4.874
31,4.719,6.349,4.925,7.917,6.942,5.573,5.766,4.517,6.079,3.683,4.235,6.946,1.015,5.286,1.29,1.538,1.242,6.462,6.517,4.673,5.548,3.115,5.274,5.878,1.594,5.983,1.312,5.564,6.57,5.952,5.982,0.0,0.313,1.287
32,4.406,6.036,4.612,7.604,6.629,5.26,5.453,4.204,5.766,3.37,3.922,6.633,0.702,4.973,0.977,1.225,0.929,6.149,6.204,4.36,5.235,2.802,4.961,5.565,1.281,5.67,0.999,5.251,6.257,5.639,5.669,0.313,0.0,0.974
33,3.955,5.054,4.161,6.518,5.543,4.809,4.367,3.753,4.537,2.498,2.748,5.651,0.25,3.799,0.81,0.614,0.547,5.063,5.118,3.186,4.149,2.351,3.875,5.114,0.83,4.584,0.548,4.165,5.275,5.188,4.583,1.657,1.344,0.0
