,warehouse_1_in_lats,warehouse_1_in_lngs,warehouse_1_out_lats,warehouse_1_out_lngs
16,"[21.0435285, 21.0431688, 21.0419646, 21.0423893, 21.0407204, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8465003, 105.8471691, 105.8472307, 105.848212, 105.8498205, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0438144, 21.0419646, 21.0423312, 21.0439182, 21.0435285]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8473359, 105.8472307, 105.8452693, 105.8458047, 105.8465003]"
17,"[21.0406746, 21.0408786, 21.0410527, 21.0417339, 21.0469127, 21.1186094, 21.120944, 21.12217, 21.1073537, 21.1079007, 21.0881608, 21.0971499, 21.1044782, 21.1157688, 21.1057493, 21.0938763, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8070283, 105.8071389, 105.8068104, 105.8065192, 105.8055652, 105.8272579, 105.8273131, 105.8279631, 105.8499294, 105.8508731, 105.902719, 105.9288889, 105.9376552, 105.9558489, 105.9613889, 105.9673641, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0438481, 21.0422521, 21.0403508, 21.0376196, 21.0403606, 21.0406746]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8059888, 105.8060351, 105.8063489, 105.8066418, 105.8069652, 105.8070283]"
18,"[21.0366478, 21.036811, 21.0417339, 21.0469127, 21.1186094, 21.120944, 21.12217, 21.1073537, 21.1079007, 21.0881608, 21.0971499, 21.1044782, 21.1157688, 21.1057493, 21.0938763, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.807154, 105.8069257, 105.8065192, 105.8055652, 105.8272579, 105.8273131, 105.8279631, 105.8499294, 105.8508731, 105.902719, 105.9288889, 105.9376552, 105.9558489, 105.9613889, 105.9673641, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0438481, 21.0422521, 21.0403508, 21.0347589, 21.0346072, 21.036811, 21.0366478]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8059888, 105.8060351, 105.8063489, 105.8051868, 105.8054214, 105.8069257, 105.807154]"
19,"[21.0348907, 21.0368923, 21.0419291, 21.0421025, 21.0416498, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8253889, 105.8154926, 105.8166178, 105.8185498, 105.8362237, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0506938, 21.0426939, 21.0426847, 21.0418418, 21.0395769, 21.0344652, 21.0348907]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8402119, 105.8357956, 105.8351333, 105.8350822, 105.8286912, 105.8317324, 105.8253889]"
20,"[21.0382877, 21.0379663, 21.0372403, 21.0419291, 21.0421025, 21.0416498, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8128539, 105.8133776, 105.8149347, 105.8166178, 105.8185498, 105.8362237, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0506938, 21.0436827, 21.0447618, 21.0435384, 21.0433021, 21.0376005, 21.0374155, 21.0379663, 21.0382877]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8402119, 105.8361121, 105.8173506, 105.8166926, 105.8167982, 105.8150127, 105.8145095, 105.8133776, 105.8128539]"
21,"[21.0292266, 21.0288278, 21.0300023, 21.0306545, 21.0313734, 21.040567, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8402105, 105.8415345, 105.841709, 105.8411033, 105.8404653, 105.8420625, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.046799, 21.0423817, 21.0427738, 21.0412037, 21.0297334, 21.0292266]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8438485, 105.8425259, 105.8401496, 105.8400882, 105.8384198, 105.8402105]"
22,"[21.0405934, 21.0430168, 21.0416498, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.812938, 105.8146369, 105.8362237, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0506938, 21.0436827, 21.0447618, 21.0435384, 21.0433021, 21.0411118, 21.0415121, 21.0405934]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8402119, 105.8361121, 105.8173506, 105.8166926, 105.8167982, 105.8160766, 105.813968, 105.812938]"
23,"[21.0268057, 21.0269593, 21.0271105, 21.0262531, 21.0266341, 21.0173735, 21.0056846, 21.004602, 21.0028432, 20.9817276, 21.008413, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8155387, 105.8155638, 105.8132602, 105.8125186, 105.8120218, 105.8066686, 105.7923113, 105.7923585, 105.7939326, 105.8912596, 105.9150656, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 20.9818578, 21.0006867, 21.0043065, 21.0135124, 21.0172598, 21.0275467, 21.027181, 21.0268057]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.8910786, 105.7960416, 105.7933053, 105.8029747, 105.8068526, 105.8122873, 105.8155619, 105.8155387]"
24,"[21.0415424, 21.0412037, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8401014, 105.8400882, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.046799, 21.0423817, 21.0427738, 21.0415424]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8438485, 105.8425259, 105.8401496, 105.8401014]"
25,"[21.0360234, 21.0378438, 21.0377252, 21.0417339, 21.0469127, 21.1186094, 21.120944, 21.12217, 21.1073537, 21.1079007, 21.0881608, 21.0971499, 21.1044782, 21.1157688, 21.1057493, 21.0938763, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8105416, 105.8105182, 105.8071577, 105.8065192, 105.8055652, 105.8272579, 105.8273131, 105.8279631, 105.8499294, 105.8508731, 105.902719, 105.9288889, 105.9376552, 105.9558489, 105.9613889, 105.9673641, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0438481, 21.0422521, 21.0403508, 21.0376196, 21.0378438, 21.0360234]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8059888, 105.8060351, 105.8063489, 105.8066418, 105.8105182, 105.8105416]"
26,"[21.0425669, 21.0427738, 21.0412037, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.841524, 105.8401496, 105.8400882, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.046799, 21.0423817, 21.0425669]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8438485, 105.8425259, 105.841524]"
27,"[21.0419699, 21.0422039, 21.0421005, 21.0411984, 21.0410527, 21.0417339, 21.0469127, 21.1186094, 21.120944, 21.12217, 21.1073537, 21.1079007, 21.0881608, 21.0971499, 21.1044782, 21.1157688, 21.1057493, 21.0938763, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.810767, 105.8107847, 105.8094972, 105.8095362, 105.8068104, 105.8065192, 105.8055652, 105.8272579, 105.8273131, 105.8279631, 105.8499294, 105.8508731, 105.902719, 105.9288889, 105.9376552, 105.9558489, 105.9613889, 105.9673641, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0506938, 21.0436827, 21.0447618, 21.0435384, 21.0433021, 21.0411118, 21.0415121, 21.0408873, 21.0411365, 21.0416937, 21.0419699]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8402119, 105.8361121, 105.8173506, 105.8166926, 105.8167982, 105.8160766, 105.813968, 105.8129761, 105.8113523, 105.8107306, 105.810767]"
28,"[21.0457791, 21.0416498, 21.0399252, 21.0406504, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8115146, 105.8362237, 105.8472084, 105.8498993, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0491151, 21.0481335, 21.0464822, 21.0475626, 21.0457791]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8047371, 105.8049112, 105.8054906, 105.8060704, 105.8115146]"
29,"[21.0272941, 21.0275467, 21.0299088, 21.0173735, 21.0056846, 21.004602, 21.0028432, 20.9817276, 21.008413, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8144842, 105.8122873, 105.812923, 105.8066686, 105.7923113, 105.7923585, 105.7939326, 105.8912596, 105.9150656, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 20.9818578, 21.0006867, 21.0043065, 21.0135124, 21.0172598, 21.0275467, 21.0272941]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.8910786, 105.7960416, 105.7933053, 105.8029747, 105.8068526, 105.8122873, 105.8144842]"
30,"[21.0377385, 21.0377252, 21.0417339, 21.0469127, 21.1186094, 21.120944, 21.12217, 21.1073537, 21.1079007, 21.0881608, 21.0971499, 21.1044782, 21.1157688, 21.1057493, 21.0938763, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8085359, 105.8071577, 105.8065192, 105.8055652, 105.8272579, 105.8273131, 105.8279631, 105.8499294, 105.8508731, 105.902719, 105.9288889, 105.9376552, 105.9558489, 105.9613889, 105.9673641, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.1055035, 21.1158392, 21.1009065, 21.0971499, 21.0881608, 21.1080211, 21.1075163, 21.1247494, 21.1248169, 21.1233291, 21.1171972, 21.0438481, 21.0422521, 21.0403508, 21.0376196, 21.0377385]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9618263, 105.9560598, 105.9332871, 105.9288889, 105.902719, 105.8507799, 105.8502134, 105.8314455, 105.8256881, 105.8269595, 105.8269201, 105.8059888, 105.8060351, 105.8063489, 105.8066418, 105.8085359]"
31,"[21.04703, 21.0469553, 21.0475053, 21.0452498, 21.046799, 21.0407204, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8484596, 105.8483634, 105.8476222, 105.8456996, 105.8438485, 105.8498205, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0452498, 21.0475053, 21.0469553, 21.04703]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8456996, 105.8476222, 105.8483634, 105.8484596]"
32,"[21.0460733, 21.0452498, 21.046799, 21.0407204, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8464226, 105.8456996, 105.8438485, 105.8498205, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0452498, 21.0460733]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8456996, 105.8464226]"
33,"[21.0436691, 21.0437994, 21.0428041, 21.0419646, 21.0423893, 21.0407204, 21.0365969, 21.035414, 21.035039, 21.0396991, 21.031845, 21.0313611, 21.0276752, 21.0260537, 21.0228937, 21.0300778, 21.0259268, 21.0238012, 21.0918356, 21.0908725, 21.0937151, 21.0910685, 21.0859505, 21.0824735, 21.0847931, 21.0844049]","[105.8449819, 105.8446234, 105.8442324, 105.8472307, 105.848212, 105.8498205, 105.8536671, 105.8543497, 105.8544979, 105.8659098, 105.8782767, 105.8794776, 105.8941427, 105.8985417, 105.905273, 105.913493, 105.9260774, 105.9288159, 105.9618965, 105.9634809, 105.9667421, 105.9786955, 105.9777109, 105.9931521, 105.9935603, 105.9960805]","[21.0844049, 21.0847931, 21.0824735, 21.0859417, 21.0910199, 21.0938718, 21.0999167, 21.0354284, 21.0349127, 21.0310345, 21.0424956, 21.0390218, 21.0406737, 21.0364673, 21.0343985, 21.0275314, 21.0313986, 21.031845, 21.0393871, 21.040197, 21.0397936, 21.0356118, 21.0365906, 21.0409949, 21.0438144, 21.0419646, 21.0423312, 21.0434419, 21.0436691]","[105.9960805, 105.9935603, 105.9931521, 105.9777927, 105.9787767, 105.9674707, 105.9654402, 105.9344968, 105.9338175, 105.9315842, 105.912818, 105.9078403, 105.9047729, 105.9022205, 105.9016405, 105.8966498, 105.8796718, 105.8782767, 105.8660596, 105.8654582, 105.8658924, 105.8546743, 105.853938, 105.8501716, 105.8473359, 105.8472307, 105.8452693, 105.8456381, 105.8449819]"
